species,frequency
s__RUG592 sp900320535,1
s__UBA2730 sp900320505,1
s__Acetatifactor sp900320485,1
s__Bulleidia sp900320455,1
s__UBA4372 sp900320435,1
s__Prevotella sp900320445,1
s__UBA1777 sp900320465,1
s__Prevotella sp900320585,1
s__RC9 sp900320545,1
s__UBA1777 sp900320595,1
s__UBA1066 sp900320575,1
s__UBA4951 sp900320745,1
s__UBA1066 sp900320615,1
s__RUG612 sp900320605,1
s__UBA4372 sp900320715,1
s__Eubacterium_B sp902803185,1
s__Caecibacter massiliensis,1
s__RC9 sp900320795,1
s__UBA1221 sp900320675,1
s__Prevotella sp900320845,1
s__RUG626 sp900320765,1
s__GCA-900199385 sp900320755,1
s__Selenomonas_C bovis,1
s__CAG-433 sp900320735,1
s__RF16 sp900320865,1
s__UBA1067 sp900320855,1
s__UBA1213 sp900320925,1
s__Ottowia sp900320815,1
s__AC2028 sp900320825,1
s__Ruminococcus flavefaciens_B,1
s__Ruminococcus_E sp900320995,1
s__RF16 sp900321005,1
s__RC9 sp900320965,1
s__Prevotella sp900320905,1
s__Methanobrevibacter_A sp900320955,1
s__UBA1711 sp900320975,1
s__Rs-D84 sp900321105,1
s__CAG-127 sp900321145,1
s__RUG658 sp900321055,1
s__Saccharofermentans sp003149065,1
s__RUG666 sp900321185,1
s__UBA1213 sp900321195,1
s__Eubacterium_Q sp900321215,1
s__CAG-196 sp900321205,1
s__UBA1067 sp900321255,1
s__UBA1777 sp900321275,1
s__F082 sp900321315,1
s__UBA2943 sp900321295,1
s__RUG678 sp900321335,1
s__RC9 sp900321245,1
s__CAG-390 sp900321265,1
s__UBA2856 sp900321365,1
s__RUG210 sp003265305,1
s__Clostridium_R sp900321355,1
s__Prevotella sp900321425,1
s__Eubacterium_Q sp900321505,1
s__RUG695 sp900321495,1
s__UBA733 sp900321535,1
s__UBA4951 sp900321485,1
s__RUG762 sp900321515,1
s__UBA2943 sp900321565,1
s__UBA2942 sp900321525,1
s__UBA9732 sp900321635,1
s__UBA1081 sp900321595,1
s__RUG705 sp900321645,1
s__RUG708 sp900321625,1
s__NK4A136 sp000421045,1
s__CAG-791 sp900321785,1
s__UBA1067 sp900321575,1
s__CAG-485 sp900321585,1
s__RUG714 sp900321665,1
s__RF16 sp900321775,1
s__RUG721 sp900321745,1
s__Eubacterium_Q ruminantium,1
s__RUG727 sp900321795,1
s__UBA6984 sp900321735,1
s__RUG730 sp900321865,1
s__UBA1756 sp900321845,1
s__CAG-603 sp900321855,1
s__UBA1711 sp900321975,1
s__Ruminococcus sp900321885,1
s__RUG740 sp900321945,1
s__Eubacterium_R sp900321905,1
s__Prevotella sp900321965,1
s__Clostridium_R sp900321915,1
s__CAG-484 sp900321895,1
s__Ruminococcus_C callidus,1
s__UBA636 sp900321955,1
s__Methanobrevibacter sp900321995,1
s__UBA1232 sp900322025,1
s__Prevotella sp900322035,1
s__Sodaliphilus sp900322135,1
s__RUG756 sp900322115,1
s__UBA1213 sp900322105,1
s__UBA1213 sp900322145,1
s__Prevotella sp900322095,1
s__RUG760 sp900322165,1
s__Methanosphaera sp900322125,1
s__RUG762 sp900322085,1
s__GCA-900199385 sp900322155,1
s__Blautia_A sp902782975,1
s__Prevotella sp900322175,1
s__Prevotella sp900100635,1
s__CAG-475 sp900322215,1
s__Olsenella sp900313175,1
s__RUG410 sp900313155,1
s__UBA2883 sp900313115,1
s__RUG410 sp900313185,1
s__Rs-D84 sp900313105,1
s__Agathobacter faecis,1
s__RUG592 sp900313125,1
s__Methanobrevibacter_A sp902768765,1
s__UBA3766 sp900313265,1
s__RC9 sp900313205,1
s__Prevotella sp900313235,1
s__RC9 sp900313275,1
s__Rs-D84 sp900313285,1
s__UBA2730 sp900313345,1
s__UBA4372 sp900313335,1
s__CAG-83 sp900313295,1
s__Saccharofermentans sp900313405,1
s__CAIFEU01 sp902783515,1
s__UBA1254 sp900313355,1
s__RUG806 sp900313475,1
s__Bruticola sp900313515,1
s__Lachnospira eligens_A,1
s__UBA7642 sp900313465,1
s__RUG306 sp900313435,1
s__Prevotella sp900313615,1
s__Bulleidia sp902796465,1
s__UBA1213 sp902802105,1
s__UBA3633 sp900313535,1
s__UBA3857 sp900313585,1
s__SFFH01 sp900313545,1
s__Methanobrevibacter_A sp900313645,1
s__UBA2918 sp900313715,1
s__UBA2856 sp900313765,1
s__CAG-791 sp900313745,1
s__Fibrobacter sp900313675,1
s__UBA5026 sp900313725,1
s__UBA4372 sp900313705,1
s__Prevotella ruminicola_C,1
s__Prevotella sp900313805,1
s__CAG-1000 sp900313815,1
s__RUG841 sp900313795,1
s__RUG842 sp900313775,1
s__RUG844 sp900313875,1
s__Ruminococcus_E sp900313865,1
s__Ruminococcus_E sp900313895,1
s__CAG-590 sp900313855,1
s__UBA3839 sp900313845,1
s__UBA2922 sp900313925,1
s__Succinivibrio sp900315395,1
s__UBA7748 sp900313905,1
s__UBA1066 sp900313955,1
s__RUG306 sp900314085,1
s__Prevotella sp900314195,1
s__UBA3839 sp900314125,1
s__UBA4285 sp900314255,1
s__Acidaminococcus sp900314165,1
s__Sodaliphilus sp900314215,1
s__UBA3789 sp900314225,1
s__Eubacterium_Q sp900314445,1
s__Eubacterium_H sp900314295,1
s__UBA6398 sp900314335,1
s__Bulleidia sp900314345,1
s__UBA2813 sp900314375,1
s__UBA1081 sp900314355,1
s__Prevotella sp900314455,1
s__Prevotella sp900314365,1
s__RC9 sp900314395,1
s__UBA6985 sp900314465,1
s__Mesosutterella sp902797695,1
